Nacimientos
,Año de registro : 2015
,

Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Año de ocurrencia
 , , Total, 1901, 1902, 1903, 1905, 1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, No especificado
 , Total,"2,353,596", 3, 1, 2, 6, 1, 5, 3, 17, 6, 15, 28, 29, 48, 39, 44, 73, 79, 170, 126, 174, 218, 258, 341, 328, 384, 452, 430, 782, 482, 623, 649, 641, 853, 735, 725, 766, 689,"1,015", 744,"1,002", 920,"1,049","1,236","1,045","1,198","1,283","1,410","1,798","1,077","1,400","1,263","1,732","1,618","1,015", 961, 955, 885,"1,065", 831, 994, 883, 925, 902, 896, 771, 833, 707, 780, 699, 773, 728, 655, 694, 636, 653, 597, 620, 593, 547, 491, 456, 434, 567, 485, 491, 522, 605, 709, 667, 778, 772, 879, 973,"1,209","2,307","1,849","1,994","2,450","1,864","2,325","3,023","2,884","3,328","3,833","4,796","6,224","10,505","17,419","26,663","37,601","61,357","485,353","1,616,998", 172
 01, Aguascalientes,"26,486", , , , , , , , , , , , , , , 1, 1, 2, , , , 1, 1, 1, 1, 4, 2, 4, , 2, 3, 1, , 2, 2, , , , 3, , 1, , , 1, , 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, , 1, , 3, , 1, , , , 2, 1, 2, , 2, 1, , , , , 1, , , 1, , , , , 1, , , 1, , 1, , 1, 1, 1, 3, 1, 1, 2, 3, 2, 2, 8, 7, 10, 6, 9, 5, 11, 11, 24, 35, 52, 91, 168,"4,169","21,798", 
 02, Baja California,"63,805", , , , , , , , 1, , , , , 1, , , , 2, 4, 2, 5, 6, 3, 5, 8, 11, 12, 18, 16, 4, 10, 17, 14, 13, 16, 14, 8, 11, 21, 14, 13, 21, 19, 21, 22, 23, 22, 18, 36, 26, 34, 21, 33, 22, 20, 32, 20, 15, 27, 20, 26, 27, 31, 19, 26, 22, 17, 22, 27, 26, 21, 24, 24, 25, 31, 31, 27, 37, 26, 34, 31, 33, 37, 39, 32, 34, 52, 63, 71, 76, 76, 80, 87, 106, 151, 208, 177, 204, 334, 153, 142, 251, 209, 216, 242, 295, 295, 452, 780, 873,"1,171","1,530","11,554","42,513", 14
 03, Baja California Sur,"12,526", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , , 2, , 1, , , , , 1, , , , , , , , , , , , , 2, , , , , , , , 1, , , , , , , , , 1, , , , , , , , , , , 2, 3, 1, 2, 1, 1, 1, 1, 5, 3, 19, 31, 58, 66, 109, 221,"2,143","9,850", 
 04, Campeche,"17,862", , , , , , 1, , 1, , , , , , , , , 1, 2, , , , , 4, 1, 4, 1, 3, 2, 2, 2, 3, 4, 4, 6, 5, 6, 4, 7, 5, 4, 4, 5, 9, 5, 7, 4, 6, 8, 3, 6, 4, 10, 10, 3, 10, 4, 4, 4, 2, 6, 5, 4, 4, 3, 7, 5, 3, 5, 6, 4, 3, 8, 4, 3, 3, 1, 3, 2, 3, , 1, 2, 3, 2, 2, , , 1, , , 2, 2, 8, 7, 7, 7, 5, 8, 16, 9, 13, 11, 14, 15, 25, 42, 81, 162, 266, 315, 594,"4,133","11,844", 3
 05, Coahuila de Zaragoza,"62,807", , , , , , , , , , , , 1, , , 2, 2, 3, 1, 2, 3, 2, 6, 3, 6, 4, 9, 2, 11, 3, 13, 2, 11, 20, 9, 8, 8, 16, 11, 5, 7, 8, 15, 10, 8, 15, 13, 18, 28, 16, 13, 16, 18, 22, 8, 9, 11, 6, 7, 8, 9, 6, 9, 12, 7, 5, 10, 4, 8, 11, 9, 7, 6, 11, 11, 6, 8, 5, 11, 5, 9, 4, 8, 6, 8, 9, 7, 10, 18, 7, 16, 16, 19, 16, 37, 44, 48, 61, 80, 31, 53, 61, 65, 53, 78, 102, 131, 211, 375, 588, 540, 773,"7,924","50,787", 33
 06, Colima,"12,344", , , , , , , , , , , , , , , , 1, , 1, 1, , , 1, 2, 1, 4, 2, 1, 1, 3, 1, , 1, 1, , 1, 2, , , 1, , 2, 4, 5, 1, 3, 2, 2, 1, 3, 2, 4, 4, , , 2, 2, 1, , 4, 1, 1, 1, 3, , , 2, 2, 1, 2, 3, 3, 1, 2, 2, 1, , 2, 1, 1, 1, 3, 1, , 5, 1, 6, 7, 5, 6, 6, 5, 7, 8, 9, 10, 13, 26, 22, 20, 23, 26, 26, 40, 34, 24, 23, 32, 49, 80, 84, 131,"1,763","9,752", 
 07, Chiapas,"145,526", , , , , , , , , , , 1, 1, , 2, , , 1, 5, 1, 2, 2, 1, 5, 4, 4, 7, 3, 7, 3, 8, 6, 5, 8, 9, 13, 7, 10, 22, 12, 16, 15, 21, 36, 25, 22, 35, 32, 79, 41, 49, 42, 90, 86, 22, 19, 30, 26, 41, 32, 37, 34, 31, 35, 38, 39, 37, 32, 39, 33, 44, 38, 29, 30, 29, 29, 18, 21, 24, 46, 33, 32, 29, 40, 37, 24, 40, 38, 48, 33, 26, 36, 29, 23, 20, 956, 654, 412, 359, 329, 388, 483, 497, 570, 722, 965,"1,311","2,132","3,019","4,582","7,028","10,787","47,650","60,622", 1
 08, Chihuahua,"63,395", 1, , , , , , , , 1, , , , , 1, 1, , , 1, 1, 3, 6, 2, 1, 3, 7, 9, 4, 4, 7, 4, 7, 3, 13, 6, 9, 8, 7, 16, 8, 11, 13, 7, 18, 11, 18, 14, 19, 19, 6, 12, 11, 21, 25, 11, 10, 6, 6, 11, 8, 7, 9, 7, 11, 6, 4, 8, 10, 8, 7, 16, 8, 15, 7, 10, 15, 8, 15, 15, 15, 12, 18, 9, 19, 21, 21, 18, 16, 28, 21, 29, 24, 26, 25, 34, 35, 44, 42, 38, 35, 50, 54, 56, 89, 102, 143, 215, 311, 514, 597, 881,"1,430","9,986","47,859", 2
