Nacimientos
,Año de registro : 2016
,

Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Año de ocurrencia
 , , Total, 1902, 1903, 1904, 1905, 1906, 1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, No especificado
 , Total,"2,293,708", 1, 2, 2, 1, 4, 1, 2, 4, 18, 8, 10, 14, 20, 38, 43, 46, 64, 77, 160, 119, 162, 233, 285, 369, 373, 446, 467, 463, 738, 451, 544, 603, 607, 764, 754, 640, 720, 592, 845, 632, 746, 728, 782, 894, 854, 842, 939,"1,007","1,439","1,131","1,108","1,060","1,132","1,492","1,292", 934, 896, 894, 988, 777, 864, 892, 841, 814, 741, 789, 758, 680, 720, 619, 663, 692, 681, 649, 584, 591, 560, 533, 521, 469, 466, 373, 396, 421, 438, 417, 457, 482, 599, 629, 681, 705, 785, 846, 963,"1,157","2,136","1,803","2,263","2,697","1,917","2,148","2,853","2,810","2,921","3,153","4,087","5,201","9,472","16,102","25,745","35,684","61,236","480,824","1,575,611", 312
 01, Aguascalientes,"26,388", , , , , , , , , , , , , , 2, , , 2, , , , 2, , 2, , 2, 2, 3, 1, , 1, 1, 1, 3, , , 1, , 4, 1, 1, 2, , 2, 1, 1, 2, 3, 1, 2, 1, 3, , 1, 3, 2, 2, 1, , 2, 2, 1, , , 1, , , , , , , , 1, 3, 2, 1, , 1, , , 1, 1, , , , 1, , , , , 1, , , , 1, 1, 1, 5, 1, 3, 2, 2, 4, 3, 2, 7, 12, 8, 19, 24, 35, 61, 89, 282,"3,983","21,768", 1
 02, Baja California,"62,608", , , , , , , , , , , 1, , , 1, , , , 1, 5, 1, 5, 9, 8, 14, 13, 15, 10, 9, 16, 7, 17, 15, 10, 22, 11, 11, 17, 15, 23, 11, 14, 13, 13, 15, 21, 16, 22, 22, 28, 19, 36, 26, 17, 32, 33, 26, 25, 20, 26, 13, 34, 20, 19, 27, 15, 33, 23, 23, 23, 29, 36, 28, 34, 40, 26, 35, 35, 32, 48, 50, 42, 29, 42, 40, 45, 63, 55, 64, 83, 83, 88, 75, 101, 82, 112, 142, 226, 198, 308, 465, 183, 184, 286, 238, 200, 213, 253, 287, 405, 680, 895,"1,053","1,510","8,560","43,989", 15
 03, Baja California Sur,"12,545", , , , , , , , , , , , , , , , , , 1, 1, , , , , , , , , , , , , , , , , , , 1, , , 1, , , 1, , , , , , , 1, , 1, , , , , , , , 1, , , 1, , , 2, , , , , , 1, , 1, , 1, , , 3, , 1, , 2, 1, , , , , , , , 2, , 1, 2, 6, 1, 3, 4, 4, 7, 10, 6, 3, 7, 10, 20, 32, 60, 100, 89, 200,"2,114","9,843", 
 04, Campeche,"17,361", , , , , , , , , 1, , , , , , , , 1, 2, 1, , 4, , 2, 4, 2, 3, 5, 5, 11, , 1, 9, 5, 7, 3, 6, 4, 6, 6, 2, 3, 6, 6, 5, 5, 6, 8, 4, 9, 9, 5, 7, 4, 7, 7, 8, 6, 9, 7, 5, 5, 7, 8, 6, 11, 8, 8, 4, 6, 7, 6, 8, 8, 4, 3, 5, 3, 2, 4, 5, 6, 4, 2, 4, , 3, 2, 2, , 5, 1, 2, 3, 8, 8, 14, 16, 9, 11, 10, 10, 17, 17, 18, 15, 16, 47, 44, 79, 169, 278, 314, 621,"4,506","10,762", 4
 05, Coahuila de Zaragoza,"62,011", , , , , , , 1, , , , , , , , 1, 1, 1, 3, 5, 5, 5, 5, 5, 11, 8, 5, 13, 10, 12, 7, 13, 12, 9, 11, 12, 13, 11, 13, 16, 7, 6, 11, 11, 8, 11, 14, 14, 15, 21, 24, 19, 17, 26, 24, 20, 21, 14, 23, 20, 14, 12, 16, 15, 13, 16, 16, 12, 12, 14, 15, 12, 17, 15, 12, 12, 14, 11, 7, 9, 6, 11, 10, 7, 11, 9, 10, 6, 15, 17, 13, 22, 30, 36, 19, 21, 35, 51, 48, 76, 91, 50, 63, 98, 89, 81, 82, 115, 126, 252, 395, 539, 540, 768,"7,557","49,843", 71
 06, Colima,"11,867", , , , , , , , , , , , 1, , , , , , 2, 1, 2, 1, , , , 3, , 2, 1, 1, , 2, 2, , 1, , 1, 1, 1, 1, , 3, 1, , , 3, 2, 1, 3, 1, 1, 3, 2, 3, 2, 1, 3, 2, 2, 1, 2, , 1, 1, 1, 2, , 2, , 1, 2, 4, , 2, 6, 4, 5, 1, 2, 3, 2, 1, 1, 2, 3, 2, 6, 6, 5, 7, 6, 9, 9, 6, 13, 7, 13, 7, 18, 20, 26, 12, 20, 17, 29, 21, 19, 21, 16, 28, 55, 89, 85, 162,"1,707","9,321", 
 07, Chiapas,"140,356", , , , , , , , , , , , , 1, 1, 1, , , , 2, , 1, 3, 1, 5, 4, 5, 5, 6, 12, 2, 7, 7, 4, 5, 10, 9, 9, 5, 12, 11, 8, 16, 19, 21, 30, 20, 35, 21, 68, 78, 49, 31, 45, 61, 73, 20, 33, 31, 45, 23, 31, 34, 35, 47, 47, 34, 65, 26, 56, 36, 52, 50, 40, 54, 38, 46, 47, 49, 54, 46, 43, 39, 37, 52, 57, 38, 62, 52, 63, 48, 48, 59, 46, 57, 74, 56, 756, 601, 414, 371, 358, 381, 437, 484, 545, 616, 873,"1,106","1,967","2,746","4,230","6,783","11,954","47,761","55,393", 7
 08, Chihuahua,"62,313", , , , , 1, , , , , , , , , 1, 2, , 2, 1, 2, 1, 2, 4, 5, 4, 4, 4, 5, 5, 8, 7, 5, 6, 14, 6, 4, 9, 8, 7, 14, 15, 7, 8, 5, 14, 9, 6, 13, 7, 17, 17, 9, 10, 13, 16, 15, 4, 8, 9, 12, 7, 7, 3, 9, 8, 12, 7, 3, 8, 5, 4, 9, 4, 5, 6, 11, 8, 7, 14, 12, 5, 11, 3, 14, 9, 13, 11, 18, 14, 16, 9, 17, 26, 21, 19, 24, 36, 38, 32, 29, 32, 29, 44, 60, 59, 83, 88, 135, 200, 300, 508, 602, 857,"1,417","10,142","46,898", 
 09, Ciudad de México,"128,227", , , , , , , , , 1, 1, 2, 2, 3, 2, 5, 2, 7, 10, 12, 5, 15, 18, 25, 35, 31, 49, 37, 46, 48, 46, 48, 30, 44, 64, 51, 36, 39, 36, 51, 26, 51, 36, 42, 64, 55, 69, 69, 64, 75, 53, 59, 67, 54, 89, 72, 77, 58, 62, 51, 46, 54, 57, 44, 38, 29, 46, 48, 33, 45, 30, 46, 42, 25, 24, 32, 21, 11, 18, 15, 15, 13, 14, 11, 21, 16, 11, 10, 19, 19, 18, 19, 33, 32, 53, 43, 51, 51, 26, 43, 40, 28, 39, 38, 61, 70, 72, 133, 206, 391, 803,"1,221","1,608","2,394","22,828","95,078", 1
