Nacimientos
,Año de registro : 2017
,

Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Año de ocurrencia
 , , Total, 1902, 1905, 1906, 1907, 1909, 1910, 1911, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, No especificado
 , Total,"2,234,039", 1, 1, 2, 2, 1, 7, 10, 9, 9, 20, 24, 35, 46, 55, 121, 81, 119, 152, 178, 241, 248, 268, 329, 347, 494, 325, 432, 424, 411, 502, 511, 514, 473, 499, 577, 455, 544, 476, 589, 639, 625, 686, 665, 715, 889, 799,"1,002", 865, 858,"1,024","1,071","1,129", 743, 720, 728, 671, 685, 727, 698, 738, 607, 619, 674, 594, 592, 559, 625, 613, 637, 593, 563, 563, 535, 514, 521, 436, 460, 430, 407, 421, 431, 445, 514, 503, 648, 687, 772, 803, 814, 826, 937,"1,042","1,324","2,248","2,166","2,591","3,467","2,426","2,803","3,568","3,422","3,422","3,508","3,946","5,235","8,878","14,995","23,585","34,239","60,264","454,245","1,552,008", 105
 01, Aguascalientes,"26,955", , , , , , , , , 1, 1, , 2, , , , 2, , 1, 1, , 2, 5, , 3, , 2, , 1, 1, 2, , 1, , , , 2, 1, 1, , 1, 1, , 1, , , , 1, 1, 2, 2, , 3, , 2, 1, 2, 1, 2, 1, 2, , , , 1, , , , , , 1, , 2, 1, , , 1, , , , , , , , , 2, , 1, , 1, , 1, 2, , 2, 3, 5, 4, 6, 3, 4, 7, 7, 12, 17, 11, 19, 42, 62, 131, 361,"3,965","22,229", 
 02, Baja California,"61,840", , , , , , , 1, , , 2, , , , 2, 1, 2, 2, 5, 2, 8, 7, 7, 5, 8, 5, 7, 5, , 11, 6, 8, 8, 11, 6, 10, 6, 15, 10, 13, 13, 15, 15, 13, 18, 18, 17, 18, 14, 9, 20, 13, 17, 17, 17, 26, 14, 18, 15, 27, 21, 19, 17, 26, 25, 22, 27, 31, 45, 32, 35, 29, 21, 37, 37, 47, 39, 41, 37, 37, 44, 48, 51, 62, 69, 80, 94, 81, 91, 83, 76, 57, 72, 136, 226, 212, 288, 551, 298, 325, 411, 309, 287, 275, 235, 286, 403, 638, 808, 913,"1,256","7,509","44,432", 2
 03, Baja California Sur,"12,573", , , , , , , , 1, , , , , , 1, , 2, 3, 1, 1, , 1, 2, 3, 1, 1, , 4, 1, 2, 5, 1, 1, 5, 2, 4, 2, 4, 2, 2, 1, 3, 6, 4, 4, 5, 5, 4, 7, 7, 12, 10, 5, 6, 11, 9, 8, 6, 5, 7, 12, 4, 5, 5, 4, 6, 3, 6, 3, 6, 3, 1, 5, 5, 4, 1, 1, 1, , 1, 1, 1, 1, , 1, 1, 2, 1, 1, 3, 1, 1, 2, 5, 7, 5, 8, 11, 9, 20, 15, 18, 19, 11, 11, 24, 35, 55, 71, 76, 158,"1,833","9,913", 
 04, Campeche,"17,034", , , , , , 1, , , , , , 2, 1, , , 2, 1, 1, 1, 2, 6, 2, 3, 3, 11, 3, 8, 8, 6, 6, 7, 6, 9, 7, 10, 5, 7, 5, 5, 8, 5, 7, 10, 11, 8, 11, 9, 8, 10, 6, 10, 17, 5, 10, 10, 9, 12, 14, 5, 9, 14, 7, 8, 10, 8, 8, 15, 7, 8, 9, 9, 8, 5, 10, 4, 5, 6, 2, 7, 2, 4, 3, 2, 3, 4, 1, 6, 1, 2, 5, 7, 3, 17, 9, 9, 11, 22, 16, 23, 23, 19, 16, 15, 30, 44, 80, 149, 251, 373, 717,"4,402","10,293", 
 05, Coahuila de Zaragoza,"58,393", , , , , , , , , , , 1, , 2, 2, 1, 1, 2, 2, 5, 4, 6, , 10, 6, 4, 6, 7, 8, 7, 11, 8, 3, 11, 8, 15, 7, 10, 5, 8, 8, 10, 4, 7, 11, 13, 14, 14, 12, 11, 20, 16, 25, 20, 8, 9, 10, 18, 10, 14, 11, 4, 9, 10, 8, 10, 13, 16, 9, 9, 10, 9, 10, 5, 7, 12, 17, 5, 6, 7, 12, 9, 13, 8, 10, 9, 20, 18, 16, 19, 12, 29, 25, 32, 46, 56, 61, 81, 59, 54, 96, 60, 57, 55, 66, 99, 170, 274, 370, 433, 719,"6,694","48,081", 29
 06, Colima,"11,756", , , , , , , , , , , , , , , , , , 1, , 3, 2, , 1, 1, 1, 1, 1, , 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 3, 2, , 1, 2, 2, , 2, 3, 2, 2, 4, 5, 3, 1, 2, 1, 1, 1, 1, 1, 3, 3, , 1, 2, 2, 3, 1, 3, 1, 4, 2, 3, 1, 2, 2, 2, , 1, 4, 3, 5, 2, 3, 8, 11, 3, 8, 7, 9, 6, 3, 19, 19, 30, 35, 22, 20, 23, 17, 25, 36, 29, 28, 32, 41, 72, 95, 176,"1,612","9,252", 
 07, Chiapas,"131,638", , , , 1, , , , , , 2, , , 1, , 2, 1, 3, 1, 1, 2, 3, 1, 5, 4, 8, 6, 12, 6, 8, 8, 14, 5, 12, 6, 10, 11, 5, 10, 12, 17, 14, 20, 15, 16, 35, 28, 52, 31, 28, 43, 55, 69, 17, 22, 23, 21, 26, 33, 34, 27, 24, 25, 29, 29, 34, 22, 23, 29, 20, 24, 24, 24, 31, 28, 24, 15, 22, 18, 20, 24, 21, 16, 30, 29, 30, 22, 37, 33, 31, 38, 39, 39, 37, 567, 487, 271, 279, 303, 296, 363, 385, 509, 543, 751,"1,107","1,710","2,592","3,933","6,804","11,666","44,496","52,894", 5
 08, Chihuahua,"63,475", , , , , , , 2, , , , 1, 1, 2, , 2, , 1, 2, 2, 3, 4, 4, 6, 2, 7, 8, 8, 5, 10, 6, 8, 11, 9, 11, 10, 11, 3, 8, 14, 8, 8, 11, 14, 10, 14, 19, 14, 12, 13, 17, 16, 26, 4, 6, 13, 9, 10, 2, 12, 4, 6, 9, 11, 10, 14, 7, 9, 2, 7, 11, 10, 11, 13, 6, 12, 16, 23, 19, 19, 16, 19, 23, 25, 20, 30, 16, 26, 21, 22, 31, 34, 26, 31, 62, 43, 38, 47, 44, 62, 74, 77, 103, 129, 172, 217, 382, 583, 692, 953,"1,784","10,705","46,350", 
 09, Ciudad de México,"119,227", , , , , , 1, , 2, 1, 2, 2, 5, 3, 5, 8, 7, 13, 20, 14, 25, 19, 23, 35, 28, 51, 25, 40, 31, 23, 40, 23, 32, 20, 38, 28, 21, 25, 34, 37, 40, 28, 45, 28, 42, 48, 41, 54, 55, 41, 56, 58, 52, 42, 42, 34, 41, 25, 33, 33, 38, 36, 25, 34, 40, 19, 31, 35, 23, 40, 24, 25, 19, 12, 16, 16, 17, 14, 11, 17, 15, 12, 16, 15, 19, 16, 22, 32, 29, 27, 26, 31, 37, 41, 53, 28, 31, 38, 35, 28, 51, 72, 72, 86, 100, 178, 388, 733,"1,183","1,553","2,322","20,200","89,727", 
 10, Durango,"37,897", , , , , , , 1, , 2, 1, 3, , , , , , , 5, , 3, 3, 1, 3, 7, 5, 5, 8, 7, 4, 4, 1, 7, 6, 11, 6, 5, 6, 7, 5, 10, 6, 11, 16, 14, 9, 9, 15, 13, 11, 17, 14, 16, 19, 11, 16, 21, 21, 15, 10, 22, 11, 8, 21, 14, 8, 8, 20, 13, 9, 15, 10, 17, 19, 22, 21, 19, 19, 26, 11, 13, 17, 14, 18, 20, 19, 29, 19, 21, 29, 28, 38, 40, 41, 52, 66, 75, 116, 61, 85, 85, 79, 72, 91, 113, 131, 169, 310, 514, 684,"1,079","6,565","26,501", 
 11, Guanajuato,"116,531", , , , , , , , , , 2, 1, , , , , 2, 3, 1, 3, 4, 4, 13, 8, 12, 6, 3, 10, 6, 6, 4, 1, 2, 2, 4, 4, 4, 2, 3, 1, 3, 6, 4, 5, 3, 7, 4, 6, 12, 6, 8, 13, 12, 12, 9, 8, 11, 8, 6, 6, 6, 6, 10, 11, 5, 3, 8, 4, , 9, 14, 7, 7, 7, 12, 11, 9, 10, 15, 11, 10, 10, 12, 15, 16, 26, 32, 29, 36, 37, 34, 44, 50, 72, 82, 95, 132, 135, 101, 124, 155, 160, 169, 145, 142, 161, 241, 377, 634, 982,"1,921","21,094","88,824", 9
 12, Guerrero,"79,244", , , 1, , , , 1, , , 3, , 2, 3, 3, 5, 5, 5, 14, 8, 15, 15, 19, 14, 25, 41, 29, 32, 45, 46, 58, 71, 69, 69, 65, 79, 37, 53, 30, 54, 88, 61, 75, 70, 56, 82, 87, 116, 70, 75, 88, 91, 91, 87, 94, 76, 65, 84, 95, 75, 95, 71, 79, 69, 54, 61, 65, 62, 70, 60, 47, 45, 39, 38, 30, 43, 32, 31, 26, 24, 20, 23, 28, 32, 12, 33, 22, 24, 20, 27, 26, 29, 34, 49, 59, 44, 60, 72, 52, 69, 106, 108, 83, 99, 136, 183, 343, 632,"1,279","2,525","3,952","21,970","43,504", 6
 13, Hidalgo,"50,255", , , , , , , , , , , , , 1, 1, 5, 2, 1, 1, 3, 1, 3, 4, 7, 4, 8, 8, 11, 12, 10, 19, 20, 7, 7, 19, 10, 13, 12, 10, 8, 14, 12, 16, 17, 17, 22, 20, 24, 13, 26, 28, 25, 19, 22, 15, 12, 15, 20, 24, 15, 28, 12, 12, 22, 7, 11, 10, 13, 12, 9, 10, 9, 10, 3, 7, 4, 7, 4, 5, 7, 6, 1, 7, 5, 4, 8, 9, 13, 13, 9, 3, 8, 8, 16, 13, 13, 31, 34, 21, 31, 46, 47, 36, 48, 31, 52, 133, 219, 389, 464, 896,"10,195","36,656", 5
 14, Jalisco,"151,950", , 1, , , , , 1, , , 1, 1, 2, 2, , 3, 5, 7, 7, 13, 11, 13, 19, 18, 29, 15, 18, 11, 12, 8, 10, 8, 16, 8, 10, 16, 19, 5, 14, 18, 12, 8, 13, 16, 18, 27, 15, 28, 15, 22, 19, 21, 29, 24, 18, 8, 20, 13, 19, 17, 12, 9, 19, 13, 23, 20, 22, 16, 21, 26, 13, 13, 29, 41, 30, 54, 35, 45, 46, 37, 47, 48, 41, 61, 59, 87, 82, 101, 105, 81, 93, 115, 134, 176, 182, 188, 240, 300, 210, 271, 258, 308, 255, 251, 291, 319, 440, 741,"1,017","1,165","2,017","23,436","117,620", 4
 15, México,"286,204", , , , , , , , , 1, , , 1, 10, 8, 17, 9, 19, 20, 28, 24, 25, 20, 44, 42, 48, 42, 63, 64, 52, 66, 82, 82, 78, 73, 65, 78, 94, 86, 93, 83, 99, 101, 88, 124, 125, 114, 140, 127, 111, 150, 194, 189, 68, 63, 79, 62, 79, 74, 66, 61, 52, 58, 67, 55, 39, 50, 45, 40, 43, 49, 41, 38, 34, 29, 30, 30, 30, 34, 26, 28, 26, 27, 32, 37, 30, 35, 54, 56, 53, 57, 55, 81, 99, 111, 90, 140, 158, 157, 151, 218, 244, 221, 242, 291, 369, 698,"1,267","1,921","2,465","5,177","57,160","210,130", 3
 16, Michoacán de Ocampo,"95,287", , , , , , , , , , , 1, , , , 5, 2, 3, 2, 4, 10, 2, 8, 10, 9, 13, 9, 7, 9, 13, 14, 2, 18, 14, 12, 7, 10, 15, 17, 19, 19, 21, 32, 18, 17, 27, 29, 30, 33, 37, 29, 31, 23, 22, 24, 31, 17, 18, 18, 14, 22, 17, 15, 18, 18, 28, 18, 14, 11, 22, 31, 23, 19, 14, 20, 24, 16, 20, 19, 20, 22, 19, 19, 19, 28, 26, 32, 45, 50, 42, 39, 43, 63, 65, 80, 104, 175, 230, 124, 134, 189, 158, 153, 146, 169, 238, 351, 584,"1,015","1,373","2,418","21,235","64,785", 
 17, Morelos,"33,159", , , , , , , , , 1, , 2, 1, 1, 2, 4, 1, 2, 6, 5, 8, 8, 14, 6, 7, 11, 2, 7, 14, 12, 14, 13, 15, 11, 13, 20, 9, 17, 10, 18, 19, 25, 15, 27, 26, 27, 27, 19, 31, 25, 29, 23, 22, 16, 15, 18, 12, 21, 20, 18, 14, 19, 13, 21, 6, 13, 13, 11, 13, 9, 4, 5, 5, 11, 12, 2, 1, 3, 4, 7, 2, 5, 5, 5, 12, 19, 12, 8, 12, 17, 16, 28, 28, 24, 31, 45, 63, 80, 72, 61, 52, 66, 48, 55, 46, 59, 180, 307, 538, 601,"1,070","6,996","21,721", 
 18, Nayarit,"21,688", , , , , , , , , , , , , , 1, 1, 1, , , 1, 2, 1, 1, 2, 2, , 3, 1, 2, , 3, 2, 4, 2, 6, 4, 2, 3, 2, 3, 4, 2, 4, 2, 3, 4, 12, 6, 2, 8, 4, 8, 2, 3, 1, 3, 4, 5, 3, 3, 6, 1, 3, 5, 2, 5, , 4, 4, 5, 8, 6, 7, 6, 2, 7, 2, 7, 3, 5, 7, 9, 6, 6, 9, 13, 11, 16, 14, 15, 15, 23, 12, 26, 30, 40, 52, 82, 59, 61, 96, 89, 102, 77, 66, 86, 112, 162, 256, 329, 563,"3,459","15,565", 
