Nacimientos
,Año de registro : 2019
,

Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Año de ocurrencia
 , , Total, 1901, 1902, 1905, 1906, 1909, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, No especificado
 , Total,"2,092,214", 1, 1, 1, 1, 1, 6, 3, 3, 4, 2, 9, 11, 21, 28, 22, 40, 37, 65, 75, 88, 140, 146, 155, 242, 218, 336, 232, 286, 335, 309, 378, 407, 399, 435, 450, 552, 413, 504, 494, 551, 594, 502, 587, 665, 658, 867, 721, 769, 778, 802, 751, 703, 756, 950, 951, 611, 540, 602, 562, 616, 548, 529, 510, 563, 502, 497, 478, 534, 551, 518, 549, 457, 503, 457, 491, 474, 443, 426, 400, 377, 449, 415, 455, 418, 514, 598, 622, 665, 681, 667, 715, 792, 779, 896,"1,106","1,588","2,701","2,500","2,737","3,823","2,516","2,765","3,545","2,820","2,733","2,972","3,449","5,047","8,557","15,253","24,880","35,243","61,969","434,007","1,432,072", 72
 01, Aguascalientes,"25,011", , 1, , , , , , , , , 1, , , 2, , , , , , , 1, , 2, 3, , 1, 2, , 1, 1, , , 1, , , , , 1, 1, 2, , , , , , 1, , , 2, 1, 4, 2, 1, 1, 3, , , 1, 1, 1, , , 1, 1, , , , , 1, , , , 3, 1, , , , 1, , , 1, 1, , , , 2, , , 3, 1, 5, , 1, 3, 4, 3, 3, 4, 3, 2, 6, 5, 6, 11, 12, 13, 13, 25, 29, 59, 96, 137, 268,"3,798","20,448", 3
 02, Baja California,"56,554", , , , , , , , , , , , , 1, 1, , , , 3, , 2, 2, 5, 3, 4, 2, 2, 8, 8, 8, 4, 6, 8, 4, 4, 7, 6, 11, 6, 12, 9, 6, 6, 15, 5, 13, 19, 16, 19, 19, 16, 15, 13, 18, 14, 20, 17, 19, 20, 16, 30, 15, 17, 19, 23, 22, 23, 26, 29, 26, 37, 41, 28, 39, 53, 51, 52, 58, 57, 40, 56, 72, 62, 74, 78, 89, 95, 110, 109, 90, 91, 78, 104, 80, 94, 99, 187, 277, 240, 297, 573, 243, 241, 331, 220, 184, 176, 186, 209, 315, 480, 643, 609, 946,"6,989","40,723", 6
 03, Baja California Sur,"11,761", , , , , , 1, , , , , , , , , , , , , 2, , , 1, 1, 1, , 1, , 1, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1, 2, 3, 2, , , , 5, 2, 4, 3, 3, 2, 3, 2, 5, 2, 3, 4, 3, 1, 3, 5, 3, 2, 3, , 4, 2, 4, 1, 3, , 2, 4, 3, 2, 4, , 3, 3, 1, 1, 1, , 2, 1, , 2, , , , , 1, , 3, 3, 2, 8, 4, 4, 7, 4, 5, 7, 10, 7, 8, 10, 8, 14, 31, 45, 47, 63, 126,"2,013","9,201", 
 04, Campeche,"14,867", , , , , , , , , , , , , , , , 1, 1, , , 1, 2, 1, 1, 3, , , 3, 4, 5, , 1, 4, 3, 2, 1, 5, , 2, 2, , 8, 3, 6, 10, 2, 4, 6, 4, 11, 7, 5, 8, 4, 6, 9, 6, 4, 1, 9, 3, 2, 3, 4, 2, 1, 5, 4, 6, 4, 3, 3, 3, 1, 2, 3, 3, , , , 1, 1, 1, 1, 1, 3, 2, , , 3, 1, , 2, 2, 2, 6, 12, 9, 6, 9, 9, 4, 13, 11, 13, 11, 16, 13, 25, 54, 132, 220, 281, 556,"3,868","9,372", 
 05, Coahuila de Zaragoza,"52,912", , , , , , , , , , , , , , , , , , 1, , 1, 4, 4, 3, 6, 5, 2, 5, 5, 3, 6, 7, 5, 7, 5, 8, 10, 8, 7, 11, 11, 1, 12, 11, 10, 8, 16, 10, 10, 11, 12, 13, 9, 18, 15, 26, 14, 15, 15, 12, 14, 10, 7, 18, 11, 10, 8, 12, 18, 12, 13, 11, 13, 13, 6, 13, 12, 12, 10, 8, 8, 14, 6, 6, 10, 10, 12, 16, 17, 17, 15, 24, 20, 15, 20, 17, 39, 45, 38, 62, 74, 30, 35, 49, 33, 39, 34, 33, 67, 109, 157, 258, 347, 636,"5,245","44,734", 28
 06, Colima,"10,805", , , , , , , , , , , , , , , , , , 1, 1, , 2, , , , , 1, , 1, 1, , , , , , , , , , 2, , 2, 1, 3, 2, , 3, , 1, 1, 1, 1, 1, 1, 5, 1, 2, 1, , 1, , , , 1, , , 3, 2, 4, 1, 2, , 2, , 1, 1, 3, 7, 6, 5, 1, 3, 4, 2, 1, 6, 9, 8, 4, 9, 4, 4, 13, 6, 5, 12, 7, 12, 11, 27, 30, 12, 23, 21, 20, 16, 19, 13, 14, 20, 40, 69, 76, 103,"1,416","8,691", 
 07, Chiapas,"140,265", , , , , , , , , , , , , , 3, , , , , , , 1, , , , , , , , , 1, 1, , , , , 1, , , , , 2, 2, , 1, , 5, 1, 1, 4, 1, 1, 2, 2, 1, 2, 3, 3, 2, 5, 3, 1, 5, 5, 6, 1, 7, 5, 6, 3, 8, 3, 6, 4, 2, 4, 1, 1, 3, 6, 3, 5, 4, 5, 4, 2, 4, 6, 6, 6, 11, 9, 10, 6, 10, 11, 9, 698, 625, 438, 386, 405, 426, 483, 543, 602, 784, 952,"1,371","2,142","3,516","5,765","8,980","14,603","47,424","49,886", 
 08, Chihuahua,"59,797", , , , , , 1, , 1, 1, , , , 1, 1, 1, , , 1, 1, 1, , 2, 3, 5, 1, 4, 4, 1, 4, 6, 7, 11, 8, 4, 5, 12, 12, 9, 10, 10, 7, 12, 11, 14, 12, 19, 9, 18, 15, 15, 19, 15, 8, 22, 15, 5, 13, 8, 7, 9, 8, 4, 5, 5, 12, 6, 7, 9, 9, 10, 8, 8, 12, 13, 8, 14, 9, 13, 12, 12, 11, 11, 18, 13, 20, 23, 21, 17, 22, 36, 23, 27, 26, 39, 57, 50, 55, 52, 43, 50, 48, 42, 75, 71, 86, 115, 183, 258, 374, 675, 802,"1,091","1,999","11,489","41,311", 
