Nacimientos
,Año de registro : 2020
,

Consulta de: Nacimientos registrados   Por: Ent y mun reside madre   Según: Año de ocurrencia
 , , Total, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, No especificado
 , Total,"1,629,211", 101, 37, 57, 53, 45, 83, 58, 106, 71, 110, 94, 108, 161, 132, 144, 157, 148, 215, 142, 206, 187, 177, 212, 186, 236, 202, 218, 321, 268, 343, 266, 351, 332, 255, 351, 335, 401, 396, 266, 316, 287, 293, 283, 269, 289, 268, 256, 279, 227, 251, 277, 307, 308, 257, 277, 272, 262, 297, 271, 271, 244, 250, 256, 254, 267, 267, 309, 389, 382, 421, 451, 442, 437, 444, 491, 503, 558, 706, 882,"1,513","1,480","1,438","2,127","1,115","1,204","1,419","1,162","1,223","1,234","1,561","2,249","4,346","7,824","13,168","21,877","37,988","335,378","1,169,571", 33
 01, Aguascalientes,"20,370", 4, , , , 1, 1, 1, , , , , , 1, , , , , , , , , , , , 1, , , , , 1, , , , , , , 1, 1, 1, , , , 1, 1, 2, , , , 1, 1, , , 1, , 1, 1, , , , 1, , 1, , , , , , 1, , , , 1, 1, 1, 1, 3, 1, 2, 1, 5, , 1, 2, 1, 2, 6, 7, 4, 4, 3, 8, 25, 32, 49, 70, 155,"3,183","16,777", 
 02, Baja California,"47,945", 1, , , , 1, 2, , 2, 3, 2, , 1, 2, 1, , 2, 3, 2, 2, 2, , 1, 2, 2, 5, 3, 4, 4, 6, 5, 4, 7, 4, 4, 11, 5, 3, 5, 7, 9, 8, 9, 15, 18, 15, 16, 11, 14, 18, 23, 13, 32, 34, 33, 29, 23, 39, 36, 33, 41, 38, 42, 52, 58, 57, 47, 68, 81, 78, 72, 91, 67, 64, 70, 70, 62, 68, 85, 129, 210, 142, 188, 431, 166, 160, 178, 129, 102, 97, 94, 119, 167, 288, 253, 383, 577,"5,467","36,918", 
 03, Baja California Sur,"10,081", 1, , 1, , , , , , 1, , 1, 3, , , , 2, 1, , , 3, 1, 1, 1, , , , , 1, 2, 1, 4, 4, 2, 1, 1, 3, 1, , 3, 7, 3, 2, 3, 1, 1, 1, , 2, 1, , 3, , 1, 1, , , 3, , 2, 1, , , , , 1, , , 1, , , 2, 1, 2, 2, , , 1, 2, , 5, 2, 5, 7, 5, 5, 9, 5, 5, 3, 4, 6, 19, 22, 46, 53, 112,"1,824","7,861", 
 04, Campeche,"10,729", , , , 1, , , 1, , , , 1, 1, 2, , 2, , 3, 3, 1, 1, 1, 1, 1, , , , , 1, , 3, 2, 3, 1, , 3, 3, 2, 1, 6, 2, 2, , , 1, , , 1, 2, 1, 2, , 1, , , , , 1, , , , 1, , , , , , 3, , , , , , , , 1, 1, 1, 1, 1, 3, 1, , 3, 1, 2, 2, 4, 3, 3, 6, 9, 28, 61, 108, 190, 363,"3,098","6,778", 
 05, Coahuila de Zaragoza,"45,815", , 1, 3, 2, 2, 4, 2, 2, 1, , , 5, 4, 3, 1, 5, 3, 1, 3, 6, 4, 3, 7, 7, 3, 5, 2, 8, 7, 8, 9, 9, 8, 3, 13, 15, 13, 16, 6, 7, 10, 12, 10, 2, 10, 9, 10, 7, 10, 9, 5, 14, 16, 10, 8, 10, 7, 8, 6, 9, 7, 11, 5, 7, 4, 10, 6, 17, 13, 16, 19, 19, 14, 26, 15, 9, 19, 12, 28, 42, 35, 37, 73, 28, 16, 37, 15, 19, 10, 23, 23, 62, 81, 171, 192, 360,"4,177","39,769", 5
 06, Colima,"8,948", , , , 2, , , , 1, , , , , , , , 1, , 1, , 2, , , , 1, 1, , , 1, 1, 2, 3, 1, 1, , , , , 1, , 1, 1, , , 2, , , 2, , 1, , 3, 1, 1, 1, 3, 3, 2, 2, 1, 6, 1, 3, 4, 5, 4, , 1, 10, 2, 1, 3, 4, 3, 5, 3, 4, 2, 3, 4, 9, 9, 7, 18, 5, 6, 8, 3, 1, 4, 2, 2, 17, 23, 37, 49, 64,"1,051","7,522", 
 07, Chiapas,"98,098", , , , , , , , , , 1, , , , , , , , , , , , , , , , , , 1, , , 1, , , 1, , 1, , 1, 1, 1, 1, 2, , 4, 1, 4, 3, 1, , 1, 2, 1, , 2, 1, 4, 3, 4, 2, 5, 1, 3, , , 2, 4, 3, 1, 2, 2, 1, 1, 4, 3, 2, 5, 4, 4, 4, 458, 516, 264, 218, 193, 211, 267, 278, 341, 390, 508, 714,"1,286","2,140","3,435","6,288","9,870","33,787","36,839", 
 08, Chihuahua,"48,095", 4, 2, , , , 1, 2, 3, 2, 1, 5, , 3, 5, 3, 7, 6, 5, 1, 3, 2, 6, 2, 2, 5, , 5, 7, 5, 3, 6, 7, 9, 4, 5, 5, 6, 5, 2, 5, 4, 6, 4, 2, 5, 4, 2, 7, 2, 3, 5, 3, 5, 2, 6, 3, 4, 6, 5, 8, 6, 10, 11, 6, 10, 12, 6, 15, 13, 18, 14, 15, 9, 11, 21, 12, 25, 21, 32, 21, 34, 20, 25, 22, 31, 38, 53, 65, 76, 103, 162, 242, 413, 504, 812,"1,478","8,121","35,377", 1
 09, Ciudad de México,"65,703", 3, 2, 2, 2, 3, 2, 4, 5, 2, 6, 3, 7, 7, 4, 5, 3, 4, 4, 7, 3, 10, 10, 10, 6, 8, 10, 3, 6, 5, 4, 8, 7, 9, 3, 13, 9, 11, 7, 11, 7, 9, 8, 7, 7, 6, 8, 3, 8, 2, 5, 2, 5, 1, 2, 3, 2, 4, 4, 2, 1, , 4, , , 4, 4, 3, 4, 4, 2, 6, 6, 3, 2, 3, 8, 6, 12, 8, 15, 10, 10, 19, 8, 10, 18, 16, 20, 23, 45, 58, 132, 263, 401, 468, 775,"12,445","50,564", 
