Mortalidad fetal
,Año de registro : 2018
,

Consulta de: Mortalidad fetal   Por: Edad gestacional   Según: Ent y mun de ocurrencia
 , Total, Aguascalientes, Baja California, Baja California Sur, Campeche, Coahuila de Zaragoza, Colima, Chiapas, Chihuahua, Ciudad de México, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas
 Total,"21,195", 149, 619, 111, 144, 104, 153, 649, 636,"2,507", 352,"1,574", 54, 434,"1,415","4,445", 464, 263, 50, 795, 400,"1,422", 432, 224, 592, 306, 549, 269, 183, 226, 984, 441, 249
 De 12 semanas, 305, 2, 16, , 8, 2, 1, 1, 10, 20, 4, 9, , 4, 32, 59, 11, 5, , 9, 4, 10, , 1, 7, 4, 75, 1, 1, 3, 6, , 
 De 13 semanas, 245, , 9, 1, 3, , 2, 2, 8, 36, 4, 16, , 2, 11, 77, 6, 3, , 1, 2, 7, 1, , 17, 9, 18, , 1, , 4, 5, 
 De 14 semanas, 302, , 10, 2, 3, , 1, 4, 6, 46, 2, 23, , 8, 18, 90, 2, 7, , 3, 2, 13, , , 15, 11, 9, , 1, , 12, 10, 4
 De 15 semanas, 356, , 10, 1, 1, , 3, 1, 8, 62, 3, 20, , 11, 30, 102, 8, 4, 2, 3, 2, 13, 2, , 7, 14, 14, , 1, 2, 20, 9, 3
 De 16 semanas,"1,462", 2, 40, 3, 4, 3, 7, 4, 44, 319, 22, 93, 1, 22, 132, 412, 16, 26, 1, 85, 3, 45, 9, 2, 45, 14, 44, , 5, 10, 31, 13, 5
 De 17 semanas, 813, 2, 19, 1, 1, 7, 7, 5, 20, 161, 10, 84, , 13, 63, 233, 8, 9, 1, 23, 5, 24, 5, , 23, 12, 20, 1, 5, 7, 27, 12, 5
 De 18 semanas, 917, 2, 32, 4, 5, 3, 10, 9, 19, 155, 14, 83, , 21, 57, 269, 10, 15, , 23, 9, 25, 10, 3, 30, 15, 22, 1, 4, 14, 27, 22, 4
 De 19 semanas, 945, 4, 21, 5, 3, 1, 10, 7, 36, 152, 12, 98, , 18, 66, 214, 21, 19, 3, 30, 15, 43, 11, 7, 41, 17, 19, 1, 7, 9, 28, 15, 12
 De 20 semanas,"1,276", 14, 32, 8, 4, 5, 7, 18, 34, 191, 35, 109, , 22, 81, 332, 19, 24, , 31, 13, 66, 26, 7, 38, 21, 22, , 11, 15, 46, 29, 16
 De 21 semanas, 948, 7, 23, 9, 6, 3, 5, 10, 18, 147, 19, 74, 2, 23, 72, 218, 12, 14, 5, 39, 9, 52, 26, 7, 22, 15, 21, 4, 5, 5, 46, 17, 13
 De 22 semanas,"1,281", 11, 40, 10, 10, 7, 11, 28, 24, 159, 18, 97, 4, 39, 81, 263, 27, 12, 2, 61, 17, 89, 27, 14, 40, 25, 28, 10, 9, 13, 57, 28, 20
 De 23 semanas,"1,062", 6, 35, 10, 6, 2, 4, 18, 23, 137, 21, 95, 1, 24, 55, 211, 25, 17, 4, 37, 12, 97, 36, 14, 37, 13, 26, 11, 5, 15, 39, 16, 10
 De 24 semanas,"1,096", 8, 31, 2, 11, 4, 5, 42, 29, 135, 19, 84, 2, 19, 53, 205, 25, 2, 3, 39, 28, 92, 52, 13, 33, 13, 16, 24, 10, 19, 43, 19, 16
 De 25 semanas, 763, 8, 16, 4, 4, 5, 10, 24, 21, 96, 12, 58, 2, 17, 38, 165, 10, 9, 1, 24, 17, 79, 18, 7, 7, 14, 15, 14, 6, 9, 33, 14, 6
 De 26 semanas, 592, 9, 19, 5, 3, 4, 7, 14, 14, 53, 6, 39, 4, 15, 35, 105, 20, 7, , 31, 24, 51, 11, 3, 15, 6, 8, 12, 8, 8, 38, 12, 6
 De 27 semanas, 453, 2, 9, 3, , 4, 5, 12, 13, 33, 8, 28, 2, 7, 30, 82, 12, 2, 2, 27, 17, 47, 6, 7, 5, 10, 9, 4, 7, 6, 34, 10, 10
