"Notes"	"Standard Residence States"	"Standard Residence States Code"	"OE Gestational Age Recode 4"	"OE Gestational Age Recode 4 Code"	"Year"	"Year Code"	Fetal Deaths
	"Alabama"	"01"	"20 - 23 weeks"	"02"	"2015"	"2015"	213
	"Alabama"	"01"	"20 - 23 weeks"	"02"	"2016"	"2016"	216
	"Alabama"	"01"	"20 - 23 weeks"	"02"	"2017"	"2017"	225
	"Alabama"	"01"	"20 - 23 weeks"	"02"	"2018"	"2018"	208
	"Alabama"	"01"	"20 - 23 weeks"	"02"	"2019"	"2019"	186
	"Alabama"	"01"	"24 - 27 weeks"	"03"	"2015"	"2015"	65
	"Alabama"	"01"	"24 - 27 weeks"	"03"	"2016"	"2016"	86
	"Alabama"	"01"	"24 - 27 weeks"	"03"	"2017"	"2017"	81
	"Alabama"	"01"	"24 - 27 weeks"	"03"	"2018"	"2018"	79
	"Alabama"	"01"	"24 - 27 weeks"	"03"	"2019"	"2019"	94
	"Alabama"	"01"	"28 weeks or more"	"04"	"2015"	"2015"	262
	"Alabama"	"01"	"28 weeks or more"	"04"	"2016"	"2016"	253
	"Alabama"	"01"	"28 weeks or more"	"04"	"2017"	"2017"	236
	"Alabama"	"01"	"28 weeks or more"	"04"	"2018"	"2018"	208
	"Alabama"	"01"	"28 weeks or more"	"04"	"2019"	"2019"	246
	"Alabama"	"01"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Alabama"	"01"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Alabama"	"01"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Alabama"	"01"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Alabama"	"01"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Alabama"	"01"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Alabama"	"01"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Alabama"	"01"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Alabama"	"01"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Alabama"	"01"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Alaska"	"02"	"20 - 23 weeks"	"02"	"2015"	"2015"	16
	"Alaska"	"02"	"20 - 23 weeks"	"02"	"2016"	"2016"	22
	"Alaska"	"02"	"20 - 23 weeks"	"02"	"2017"	"2017"	26
	"Alaska"	"02"	"20 - 23 weeks"	"02"	"2018"	"2018"	10
	"Alaska"	"02"	"20 - 23 weeks"	"02"	"2019"	"2019"	13
	"Alaska"	"02"	"24 - 27 weeks"	"03"	"2015"	"2015"	Suppressed
