"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2015"	"2015"	301	59657	5.0
	"Alabama"	"01"	"2016"	"2016"	324	59151	5.5
	"Alabama"	"01"	"2017"	"2017"	256	58941	4.3
	"Alabama"	"01"	"2018"	"2018"	252	57761	4.4
	"Alabama"	"01"	"2019"	"2019"	243	58615	4.1
	"Alabama"	"01"	"2020 "	"2020"	224	57647	3.9
	"Alaska"	"02"	"2015"	"2015"	43	11282	3.8
	"Alaska"	"02"	"2016"	"2016"	32	11209	2.9
	"Alaska"	"02"	"2017"	"2017"	37	10445	3.5
	"Alaska"	"02"	"2018"	"2018"	32	10086	3.2
	"Alaska"	"02"	"2019"	"2019"	26	9822	2.6
	"Alaska"	"02"	"2020 "	"2020"	32	9469	3.4
	"Arizona"	"04"	"2015"	"2015"	291	85351	3.4
	"Arizona"	"04"	"2016"	"2016"	302	84520	3.6
	"Arizona"	"04"	"2017"	"2017"	293	81872	3.6
	"Arizona"	"04"	"2018"	"2018"	314	80723	3.9
	"Arizona"	"04"	"2019"	"2019"	265	79375	3.3
	"Arizona"	"04"	"2020 "	"2020"	266	76947	3.5
	"Arkansas"	"05"	"2015"	"2015"	161	38886	4.1
	"Arkansas"	"05"	"2016"	"2016"	171	38274	4.5
	"Arkansas"	"05"	"2017"	"2017"	174	37520	4.6
	"Arkansas"	"05"	"2018"	"2018"	174	37018	4.7
	"Arkansas"	"05"	"2019"	"2019"	154	36564	4.2
	"Arkansas"	"05"	"2020 "	"2020"	165	35251	4.7
	"California"	"06"	"2015"	"2015"	1565	491748	3.2
	"California"	"06"	"2016"	"2016"	1376	488827	2.8
	"California"	"06"	"2017"	"2017"	1370	471658	2.9
	"California"	"06"	"2018"	"2018"	1346	454920	3.0
	"California"	"06"	"2019"	"2019"	1308	446479	2.9
	"California"	"06"	"2020 "	"2020"	1152	420259	2.7
	"Colorado"	"08"	"2015"	"2015"	230	66581	3.5
	"Colorado"	"08"	"2016"	"2016"	216	66613	3.2
	"Colorado"	"08"	"2017"	"2017"	195	64382	3.0
	"Colorado"	"08"	"2018"	"2018"	207	62885	3.3
	"Colorado"	"08"	"2019"	"2019"	194	62869	3.1
	"Colorado"	"08"	"2020 "	"2020"	200	61494	3.3
	"Connecticut"	"09"	"2015"	"2015"	140	35746	3.9
	"Connecticut"	"09"	"2016"	"2016"	130	36015	3.6
	"Connecticut"	"09"	"2017"	"2017"	107	35221	3.0
	"Connecticut"	"09"	"2018"	"2018"	106	34725	3.1
	"Connecticut"	"09"	"2019"	"2019"	103	34258	3.0
	"Connecticut"	"09"	"2020 "	"2020"	99	33460	3.0
	"Delaware"	"10"	"2015"	"2015"	79	11166	7.1
	"Delaware"	"10"	"2016"	"2016"	57	10992	5.2
	"Delaware"	"10"	"2017"	"2017"	48	10855	4.4
	"Delaware"	"10"	"2018"	"2018"	43	10621	4.0
	"Delaware"	"10"	"2019"	"2019"	45	10562	4.3
	"Delaware"	"10"	"2020 "	"2020"	36	10392	3.5
	"District of Columbia"	"11"	"2015"	"2015"	58	9578	6.1
	"District of Columbia"	"11"	"2016"	"2016"	51	9858	5.2
	"District of Columbia"	"11"	"2017"	"2017"	56	9560	5.9
	"District of Columbia"	"11"	"2018"	"2018"	40	9212	4.3
	"District of Columbia"	"11"	"2019"	"2019"	25	9079	2.8
	"District of Columbia"	"11"	"2020 "	"2020"	24	8874	2.7
	"Florida"	"12"	"2015"	"2015"	987	224269	4.4
	"Florida"	"12"	"2016"	"2016"	930	225022	4.1
	"Florida"	"12"	"2017"	"2017"	903	223630	4.0
	"Florida"	"12"	"2018"	"2018"	889	221542	4.0
	"Florida"	"12"	"2019"	"2019"	927	220002	4.2
	"Florida"	"12"	"2020 "	"2020"	799	209671	3.8
	"Georgia"	"13"	"2015"	"2015"	669	131404	5.1
	"Georgia"	"13"	"2016"	"2016"	650	130042	5.0
	"Georgia"	"13"	"2017"	"2017"	599	129243	4.6
	"Georgia"	"13"	"2018"	"2018"	595	126172	4.7
	"Georgia"	"13"	"2019"	"2019"	587	126371	4.6
	"Georgia"	"13"	"2020 "	"2020"	475	122473	3.9
	"Hawaii"	"15"	"2015"	"2015"	68	18420	3.7
	"Hawaii"	"15"	"2016"	"2016"	68	18059	3.8
	"Hawaii"	"15"	"2017"	"2017"	65	17517	3.7
	"Hawaii"	"15"	"2018"	"2018"	66	16972	3.9
	"Hawaii"	"15"	"2019"	"2019"	54	16797	3.2
	"Hawaii"	"15"	"2020 "	"2020"	47	15785	3.0
	"Idaho"	"16"	"2015"	"2015"	71	22827	3.1
	"Idaho"	"16"	"2016"	"2016"	84	22482	3.7
	"Idaho"	"16"	"2017"	"2017"	68	22181	3.1
	"Idaho"	"16"	"2018"	"2018"	80	21403	3.7
	"Idaho"	"16"	"2019"	"2019"	60	22063	2.7
	"Idaho"	"16"	"2020 "	"2020"	74	21533	3.4
	"Illinois"	"17"	"2015"	"2015"	668	158116	4.2
	"Illinois"	"17"	"2016"	"2016"	693	154445	4.5
	"Illinois"	"17"	"2017"	"2017"	629	149390	4.2
	"Illinois"	"17"	"2018"	"2018"	660	144815	4.6
	"Illinois"	"17"	"2019"	"2019"	534	140128	3.8
	"Illinois"	"17"	"2020 "	"2020"	523	133298	3.9
	"Indiana"	"18"	"2015"	"2015"	406	84040	4.8
	"Indiana"	"18"	"2016"	"2016"	411	83091	4.9
	"Indiana"	"18"	"2017"	"2017"	392	82170	4.8
	"Indiana"	"18"	"2018"	"2018"	372	81646	4.6
	"Indiana"	"18"	"2019"	"2019"	307	80859	3.8
	"Indiana"	"18"	"2020 "	"2020"	318	78616	4.0
	"Iowa"	"19"	"2015"	"2015"	98	39482	2.5
	"Iowa"	"19"	"2016"	"2016"	148	39403	3.8
	"Iowa"	"19"	"2017"	"2017"	123	38430	3.2
	"Iowa"	"19"	"2018"	"2018"	120	37785	3.2
	"Iowa"	"19"	"2019"	"2019"	111	37649	2.9
	"Iowa"	"19"	"2020 "	"2020"	100	36114	2.8
	"Kansas"	"20"	"2015"	"2015"	162	39154	4.1
	"Kansas"	"20"	"2016"	"2016"	147	38053	3.9
	"Kansas"	"20"	"2017"	"2017"	157	36519	4.3
	"Kansas"	"20"	"2018"	"2018"	166	36261	4.6
	"Kansas"	"20"	"2019"	"2019"	129	35395	3.6
	"Kansas"	"20"	"2020 "	"2020"	159	34376	4.6
	"Kentucky"	"21"	"2015"	"2015"	228	55971	4.1
	"Kentucky"	"21"	"2016"	"2016"	209	55449	3.8
	"Kentucky"	"21"	"2017"	"2017"	220	54752	4.0
	"Kentucky"	"21"	"2018"	"2018"	194	53922	3.6
	"Kentucky"	"21"	"2019"	"2019"	181	53069	3.4
	"Kentucky"	"21"	"2020 "	"2020"	203	51668	3.9
	"Louisiana"	"22"	"2015"	"2015"	282	64692	4.4
	"Louisiana"	"22"	"2016"	"2016"	278	63178	4.4
	"Louisiana"	"22"	"2017"	"2017"	219	61018	3.6
	"Louisiana"	"22"	"2018"	"2018"	264	59615	4.4
	"Louisiana"	"22"	"2019"	"2019"	291	58941	4.9
	"Louisiana"	"22"	"2020 "	"2020"	239	57328	4.2
	"Maine"	"23"	"2015"	"2015"	54	12607	4.3
	"Maine"	"23"	"2016"	"2016"	55	12705	4.3
	"Maine"	"23"	"2017"	"2017"	58	12298	4.7
	"Maine"	"23"	"2018"	"2018"	47	12311	3.8
	"Maine"	"23"	"2019"	"2019"	45	11779	3.8
	"Maine"	"23"	"2020 "	"2020"	54	11539	4.7
	"Maryland"	"24"	"2015"	"2015"	357	73616	4.8
	"Maryland"	"24"	"2016"	"2016"	341	73136	4.7
	"Maryland"	"24"	"2017"	"2017"	315	71641	4.4
	"Maryland"	"24"	"2018"	"2018"	296	71080	4.2
	"Maryland"	"24"	"2019"	"2019"	276	70178	3.9
	"Maryland"	"24"	"2020 "	"2020"	279	68554	4.1
	"Massachusetts"	"25"	"2015"	"2015"	236	71492	3.3
	"Massachusetts"	"25"	"2016"	"2016"	210	71317	2.9
	"Massachusetts"	"25"	"2017"	"2017"	179	70702	2.5
	"Massachusetts"	"25"	"2018"	"2018"	223	69109	3.2
	"Massachusetts"	"25"	"2019"	"2019"	187	69117	2.7
	"Massachusetts"	"25"	"2020 "	"2020"	188	66428	2.8
	"Michigan"	"26"	"2015"	"2015"	480	113312	4.2
	"Michigan"	"26"	"2016"	"2016"	477	113315	4.2
	"Michigan"	"26"	"2017"	"2017"	502	111426	4.5
	"Michigan"	"26"	"2018"	"2018"	444	110032	4.0
	"Michigan"	"26"	"2019"	"2019"	465	107886	4.3
	"Michigan"	"26"	"2020 "	"2020"	463	104074	4.4
	"Minnesota"	"27"	"2015"	"2015"	261	69834	3.7
	"Minnesota"	"27"	"2016"	"2016"	242	69749	3.5
	"Minnesota"	"27"	"2017"	"2017"	224	68595	3.3
	"Minnesota"	"27"	"2018"	"2018"	229	67344	3.4
	"Minnesota"	"27"	"2019"	"2019"	204	66027	3.1
	"Minnesota"	"27"	"2020 "	"2020"	185	63443	2.9
	"Mississippi"	"28"	"2015"	"2015"	207	38394	5.4
	"Mississippi"	"28"	"2016"	"2016"	201	37928	5.3
	"Mississippi"	"28"	"2017"	"2017"	212	37357	5.7
	"Mississippi"	"28"	"2018"	"2018"	192	37000	5.2
	"Mississippi"	"28"	"2019"	"2019"	189	36636	5.2
	"Mississippi"	"28"	"2020 "	"2020"	171	35473	4.8
	"Missouri"	"29"	"2015"	"2015"	319	75061	4.2
	"Missouri"	"29"	"2016"	"2016"	314	74705	4.2
	"Missouri"	"29"	"2017"	"2017"	282	73034	3.9
	"Missouri"	"29"	"2018"	"2018"	276	73269	3.8
	"Missouri"	"29"	"2019"	"2019"	271	72127	3.8
	"Missouri"	"29"	"2020 "	"2020"	246	69285	3.6
	"Montana"	"30"	"2015"	"2015"	45	12583	3.6
	"Montana"	"30"	"2016"	"2016"	36	12282	2.9
	"Montana"	"30"	"2017"	"2017"	36	11799	3.1
	"Montana"	"30"	"2018"	"2018"	34	11513	3.0
	"Montana"	"30"	"2019"	"2019"	29	11079	2.6
	"Montana"	"30"	"2020 "	"2020"	33	10791	3.1
	"Nebraska"	"31"	"2015"	"2015"	108	26679	4.0
	"Nebraska"	"31"	"2016"	"2016"	102	26589	3.8
	"Nebraska"	"31"	"2017"	"2017"	91	25821	3.5
	"Nebraska"	"31"	"2018"	"2018"	100	25488	3.9
	"Nebraska"	"31"	"2019"	"2019"	78	24755	3.2
	"Nebraska"	"31"	"2020 "	"2020"	76	24291	3.1
	"Nevada"	"32"	"2015"	"2015"	120	36298	3.3
	"Nevada"	"32"	"2016"	"2016"	116	36260	3.2
	"Nevada"	"32"	"2017"	"2017"	129	35756	3.6
	"Nevada"	"32"	"2018"	"2018"	127	35682	3.6
	"Nevada"	"32"	"2019"	"2019"	114	35072	3.3
	"Nevada"	"32"	"2020 "	"2020"	96	33653	2.9
	"New Hampshire"	"33"	"2015"	"2015"	36	12433	2.9
	"New Hampshire"	"33"	"2016"	"2016"	35	12267	2.9
	"New Hampshire"	"33"	"2017"	"2017"	34	12116	2.8
	"New Hampshire"	"33"	"2018"	"2018"	29	11995	2.4
	"New Hampshire"	"33"	"2019"	"2019"	25	11839	2.1
	"New Hampshire"	"33"	"2020 "	"2020"	41	11791	3.5
