Año,Nacimientos
1875,"17,373"
1876,"19,573"
1877,"20,985"
1878,"21,663"
1879,"23,895"
1880,"23,846"
1881,"21,399"
1882,"21,719"
1883,"22,254"
1884,"21,781"
1885,"23,807"
1886,"24,712"
1887,"25,132"
1888,"25,832"
1889,"26,981"
1890,"27,899"
1891,"28,696"
1892,"28,071"
1893,"27,388"
1894,"28,486"
1895,"30,403"
1896,"31,001"
1897,"26,972"
1898,"29,067"
1899,"30,719"
1900,"30,589"
1901,"31,703"
1902,"31,526"
1903,"32,600"
1904,"36,984"
1905,"33,709"
1906,"32,578"
1907,"33,657"
1908,"35,520"
1909,"35,663"
1910,"35,927"
1911,"37,350"
1912,"39,171"
1913,"40,315"
1914,"38,571"
1915,"38,046"
1916,"36,983"
1917,"36,752"
1918,"38,914"
1919,"39,307"
1920,"39,335"
1921,"39,611"
1922,"40,261"
1923,"40,231"
1924,"41,880"
1925,"42,167"
1926,"43,091"
1927,"42,845"
1928,"44,632"
1929,"44,236"
1930,"45,718"
1931,"44,854"
1932,"44,036"
1933,"41,650"
1934,"41,337"
1935,"41,426"
1936,"40,755"
1937,"41,337"
1938,"41,701"
1939,"42,862"
1940,"42,893"
1941,"44,287"
1942,"42,670"
1943,"43,500"
1944,"46,443"
1945,"49,021"
1946,"48,978"
1947,"46,796"
1948,"49,033"
1949,"54,838"
1950,"56,858"
1951,"45,281"
1952,"46,710"
1953,"47,464"
1954,"49,888"
1955,"56,111"
1956,"56,389"
1957,"56,337"
1958,"57,100"
1959,"56,589"
1960,"60,111"
1961,"54,950"
1962,"56,120"
1963,"57,141"
1964,"55,100"
1965,"53,830"
1966,"51,120"
1967,"52,010"
1968,"53,330"
1969,"56,750"
1970,"54,870"
1971,"55,990"
1972,"56,470"
1973,"56,640"
1974,"58,280"
1975,"59,140"
1976,"59,190"
1977,"57,976"
1978,"57,276"
1979,"55,770"
1980,"53,591"
1981,"53,923"
1982,"53,164"
1983,"53,405"
1984,"53,348"
1985,"53,766"
1986,"54,080"
1987,"53,368"
1988,"55,798"
1989,"55,324"
1990,"56,487"
1991,"54,754"
1992,"54,190"
1993,"55,953"
1994,"55,990"
1995,"56,695"
1996,"58,718"
1997,"56,344"
1998,"54,760"
1999,"54,004"
2000,"52,770"
2001,"51,960"
2002,"51,997"
2003,"50,633"
2004,"50,052"
2005,"47,150"
2006,"47,236"
2007,"47,372"
2008,"47,428"
2009,"47,152"
2010,"47,420"
2011,"46,712"
2012,"48,059"
2013,"48,681"
2014,"48,368"
2015,"48,926"
2016,"47,058"
2017,"43,036"
2018,"40,139"
2019,"37,472"
2020,"35,874"
