iso3,year,sex,dts_tot,total,diff,country
ARE,2010,f,2109,2132,-23,United Arab Emirates
ARE,2010,m,5193,5281,-88,United Arab Emirates
ARE,2012,m,5148,5183,-35,United Arab Emirates
ARG,2020,f,167133,177656,-10523,Argentina
ARG,2020,m,192131,195393,-3262,Argentina
ARG,2020,u,3083,3170,-87,Argentina
ARG,2021,f,194791,206588,-11797,Argentina
ARG,2021,m,223858,227443,-3585,Argentina
ARG,2021,u,2682,2768,-86,Argentina
AUT,2022,f,41439,46885,-5446,Austria
AUT,2022,m,44769,46447,-1678,Austria
BEL,2019,f,49944,55569,-5625,Belgium
BEL,2019,m,51345,53214,-1869,Belgium
BEL,2020,f,57767,64688,-6921,Belgium
BEL,2020,m,59945,62208,-2263,Belgium
BEL,2021,f,49680,55425,-5745,Belgium
BEL,2021,m,54699,56509,-1810,Belgium
BRA,2020,f,682251,682027,224,Brazil
BRA,2020,m,876062,874167,1895,Brazil
BRA,2020,u,956,630,326,Brazil
CAN,2019,f,138859,138959,-100,Canada
CAN,2020,f,163015,148690,14325,Canada
CAN,2020,m,165555,159722,5833,Canada
CHE,2021,f,31468,36085,-4617,Switzerland
CHE,2021,m,33484,35107,-1623,Switzerland
CHE,2022,f,33024,37986,-4962,Switzerland
CHE,2022,m,34627,36439,-1812,Switzerland
COL,2019,f,109646,109689,-43,Colombia
COL,2019,m,134546,134573,-27,Colombia
COL,2020,f,129251,129288,-37,Colombia
COL,2020,m,171442,171481,-39,Colombia
COL,2021,f,150147,157596,-7449,Colombia
COL,2021,m,200892,205427,-4535,Colombia
COL,2022,f,119704,127926,-8222,Colombia
COL,2022,m,154444,158981,-4537,Colombia
CPV,2017,m,1093,1371,-278,Cabo Verde
CPV,2022,f,1220,1341,-121,Cabo Verde
CPV,2022,m,1603,1643,-40,Cabo Verde
DNK,2021,f,25102,27983,-2881,Denmark
DNK,2021,m,28226,29169,-943,Denmark
DNK,2022,f,26165,29066,-2901,Denmark
DNK,2022,m,29408,30369,-961,Denmark
DOM,2020,f,18584,18641,-57,Dominican Republic
DOM,2020,m,27970,28028,-58,Dominican Republic
DOM,2021,f,19722,20764,-1042,Dominican Republic
DOM,2021,m,28564,29283,-719,Dominican Republic
DOM,2022,f,17419,18507,-1088,Dominican Republic
DOM,2022,m,25049,25693,-644,Dominican Republic
DZA,2015,f,0,88089,-88089,Algeria
GBR,2019,f,270945,302622,-31677,United Kingdom
GBR,2019,m,289106,300797,-11691,United Kingdom
GBR,2020,f,1541,0,1541,United Kingdom
GBR,2020,m,2008,0,2008,United Kingdom
GEO,2022,f,22980,23752,-772,Georgia
GEO,2022,m,25176,25366,-190,Georgia
GRC,2015,f,55400,59405,-4005,Greece
GRC,2015,m,60079,61778,-1699,Greece
GRC,2016,f,54451,58250,-3799,Greece
GRC,2016,m,58729,60538,-1809,Greece
GRC,2017,f,57044,61330,-4286,Greece
GRC,2017,m,61113,63165,-2052,Greece
GRC,2018,f,54676,58909,-4233,Greece
GRC,2018,m,59475,61382,-1907,Greece
GRC,2019,f,57128,61875,-4747,Greece
GRC,2019,m,60917,63079,-2162,Greece
IRQ,2014,f,48348,48611,-263,Iraq
IRQ,2017,f,47692,48053,-361,Iraq
IRQ,2017,m,61490,62382,-892,Iraq
IRQ,2019,f,61904,63660,-1756,Iraq
IRQ,2019,m,75144,76961,-1817,Iraq
JAM,2011,f,7682,7656,26,Jamaica
JAM,2011,m,9179,9265,-86,Jamaica
JAM,2012,f,7585,7552,33,Jamaica
JAM,2012,m,8098,8068,30,Jamaica
JAM,2014,f,8827,8806,21,Jamaica
JAM,2016,f,8153,8684,-531,Jamaica
JAM,2016,m,10636,10862,-226,Jamaica
JOR,2015,f,8225,11395,-3170,Jordan
JOR,2015,m,10694,15245,-4551,Jordan
JOR,2016,f,8341,11859,-3518,Jordan
JOR,2016,m,11020,15749,-4729,Jordan
JOR,2017,f,8142,11893,-3751,Jordan
JOR,2017,m,10517,15623,-5106,Jordan
JOR,2018,f,6899,12002,-5103,Jordan
JOR,2018,m,8839,15751,-6912,Jordan
JOR,2019,f,11186,12944,-1758,Jordan
JOR,2019,m,14958,16892,-1934,Jordan
JOR,2020,f,0,13283,-13283,Jordan
JOR,2020,m,0,19370,-19370,Jordan
JPN,2016,f,536110,633212,-97102,Japan
JPN,2016,m,649650,674946,-25296,Japan
JPN,2017,f,544825,649797,-104972,Japan
JPN,2017,m,663833,690770,-26937,Japan
JPN,2021,f,570498,701715,-131217,Japan
JPN,2021,m,701061,738141,-37080,Japan
JPN,2022,f,618582,769630,-151048,Japan
JPN,2022,m,755120,799420,-44300,Japan
KAZ,2021,f,86025,87567,-1542,Kazakhstan
KAZ,2021,m,94490,94836,-346,Kazakhstan
LBN,2017,f,11015,11042,-27,Lebanon
LBN,2020,f,8967,9225,-258,Lebanon
LBN,2020,m,11761,11972,-211,Lebanon
LBN,2021,f,11597,11913,-316,Lebanon
LBN,2021,m,15435,15669,-234,Lebanon
LKA,2015,f,0,57574,-57574,Sri Lanka
LKA,2015,m,0,74040,-74040,Sri Lanka
LKA,2016,f,0,57709,-57709,Sri Lanka
LKA,2016,m,0,73056,-73056,Sri Lanka
LKA,2017,f,0,62616,-62616,Sri Lanka
LKA,2017,m,0,77206,-77206,Sri Lanka
LKA,2018,f,0,62187,-62187,Sri Lanka
LKA,2018,m,0,77311,-77311,Sri Lanka
LKA,2019,f,0,66328,-66328,Sri Lanka
LKA,2019,m,0,79725,-79725,Sri Lanka
LKA,2020,f,0,59557,-59557,Sri Lanka
LKA,2020,m,0,72874,-72874,Sri Lanka
LTU,2022,f,21035,22427,-1392,Lithuania
LTU,2022,m,20151,20457,-306,Lithuania
NLD,2021,f,77587,85203,-7616,Netherlands
NLD,2021,m,83222,85769,-2547,Netherlands
OMN,2018,f,3051,3082,-31,Oman
OMN,2018,m,4932,4967,-35,Oman
PAN,2015,f,7209,7780,-571,Panama
PAN,2015,m,10054,10402,-348,Panama
PAN,2016,f,7396,8023,-627,Panama
PAN,2016,m,10470,10859,-389,Panama
PAN,2017,f,7749,8386,-637,Panama
PAN,2017,m,10697,11096,-399,Panama
PAN,2018,f,7698,8362,-664,Panama
PAN,2018,m,10909,11358,-449,Panama
PAN,2019,f,7906,8565,-659,Panama
PAN,2019,m,11048,11484,-436,Panama
PHL,2012,f,218103,218131,-28,Philippines
PHL,2012,m,296582,296614,-32,Philippines
PHL,2013,f,226645,226764,-119,Philippines
PHL,2013,m,304316,304516,-200,Philippines
PHL,2015,f,238884,238981,-97,Philippines
PHL,2015,m,321430,321624,-194,Philippines
POL,2020,f,214540,227611,-13071,Poland
POL,2020,m,245937,249744,-3807,Poland
POL,2021,f,236243,250859,-14616,Poland
POL,2021,m,264547,268658,-4111,Poland
POL,2022,f,204413,218702,-14289,Poland
POL,2022,m,226033,229746,-3713,Poland
ROU,2015,f,123367,125830,-2463,Romania
ROU,2015,m,135583,136612,-1029,Romania
ROU,2019,f,120361,124023,-3662,Romania
ROU,2019,m,135305,136854,-1549,Romania
ROU,2020,f,135464,139760,-4296,Romania
ROU,2020,m,157790,159764,-1974,Romania
ROU,2021,f,155834,160629,-4795,Romania
ROU,2021,m,172894,174898,-2004,Romania
ROU,2022,f,124946,129429,-4483,Romania
ROU,2022,m,140674,142560,-1886,Romania
SRB,2021,f,65473,66714,-1241,Serbia
SRB,2021,m,69304,69908,-604,Serbia
SRB,2022,f,53151,54255,-1104,Serbia
SRB,2022,m,54436,54948,-512,Serbia
URY,2020,f,14964,16298,-1334,Uruguay
URY,2020,m,15923,16340,-417,Uruguay
URY,2021,f,18679,20325,-1646,Uruguay
URY,2021,m,20362,20842,-480,Uruguay
URY,2022,f,18167,19990,-1823,Uruguay
