country,code,income,year,age,pop,dts,bsn,bsn_up,bsn_lp,psc,up,lp,exc,age_type
Albania,ALB,Upper-mid,2020,Infant,28075,281,300.5687804136357,362.025,244.97500000000002,0.934894168360714,1.1470558220226552,0.7761894896761274,No-change,<5y
Albania,ALB,Upper-mid,2021,Infant,27211,228,313.89196816880536,395.025,245.97500000000002,0.7263645557104085,0.9269234678320967,0.5771786595785077,Deficit,<5y
Albania,ALB,Upper-mid,2020,1-4,116731,25,17.996234648713337,28,10,1.3891794860425097,2.5,0.8928571428571429,No-change,<5y
Albania,ALB,Upper-mid,2021,1-4,113174,23,14.054407188747664,23,7,1.63649734144706,3.2857142857142856,1,No-change,<5y
Albania,ALB,Upper-mid,2021,0-4,140386,251,297.21875242730255,372.025,231.97500000000002,0.8444958400173377,1.0820131479685309,0.6746858410053088,No-change,5y groups
Albania,ALB,Upper-mid,2021,5-9,160364,23,21.75154653474771,35,11,1.057396078171173,2.090909090909091,0.6571428571428571,No-change,5y groups
Albania,ALB,Upper-mid,2021,10-14,163040,35,39.387144638583536,53,27.975000000000023,0.8886148087443256,1.2511170688114377,0.660377358490566,No-change,5y groups
Albania,ALB,Upper-mid,2021,15-19,186357,54,51.09464786658519,73,34,1.0568621617865155,1.588235294117647,0.7397260273972602,No-change,5y groups
Albania,ALB,Upper-mid,2021,20-24,212758,98,79.61630496164348,126.02499999999998,48,1.2309036452673001,2.0416666666666665,0.7776234874032931,No-change,5y groups
Algeria,DZA,Lower-mid,2020,Infant,992019,18736,23865.176908126043,39503.725,13400.949999999999,0.7850769375030457,1.3981098354967374,0.47428438710526666,No-change,<5y
Algeria,DZA,Lower-mid,2020,1-4,3946834,2451,3651.2687990955887,6041.225,2066.6000000000004,0.6712735037768535,1.1860060001935544,0.4057124175974243,No-change,<5y
Algeria,DZA,Lower-mid,2020,0-4,4938852,21187,28293.356057433568,48573.125,15919.475000000002,0.7488330460689021,1.3308855976720335,0.4361877066793623,No-change,5y groups
Algeria,DZA,Lower-mid,2020,5-9,4600377,1273,1781.5112967327686,2827.1,1024,0.7145618455154559,1.2431640625,0.45028474408404373,No-change,5y groups
Algeria,DZA,Lower-mid,2020,10-14,3801893,1154,1466.6612291643512,2087.2,997.8000000000002,0.7868210988692366,1.1565443976748846,0.5528938290532772,No-change,5y groups
