Country,Live births,Stillbirths,Neonatal,Infant,Ages,Deaths
Afghanistan,2017-2021,2017-2021,-,-,0-4,2017-2021
Albania,2015-2021,2017-2020,2013-2021,2013-2021,0-24,2010-2021
Algeria,2018-2020,-,-,2010-2020,0-24,2010-2020
American Samoa,2010-2021,-,-,2010-2020,0-24,2010-2020
Andorra,2010-2021,2015-2020,2010-2020,2010-2020,0-24,2010-2020
Antigua & Barbuda,2010-2021,-,2012-2021,2012-2021,0-24,2012-2021
Argentina,2015-2021,2015-2020,2010-2021,2010-2021,0-24,2010-2021
Aruba,2015-2021,-,2010-2020,2012-2021,0-24,2012-2021
Australia,2010-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
Austria,2010-2022,2011-2021,2011-2021,2010-2022,0-24,2010-2022
Bahamas,2015-2021,-,2010-2021,2010-2020,0-24,2010-2020
Bangladesh,2016-2021,2016-2021,2015-2022,2010-2022,0-4,2010-2022
Bangladesh,2016-2021,2016-2021,2016-2021,2010-2022,0-4,2010-2022
Belgium,2010-2022,2011-2021,2011-2021,2010-2022,0-24,2010-2022
Belize,2010-2022,-,2010-2022,2010-2022,0-24,2010-2022
Bermuda,2010-2021,-,-,2010-2021,0-24,2010-2021
Bosnia & Herzegovina,2010-2021,2015-2020,2011-2021,2010-2021,0-24,2010-2021
Brazil,2010-2022,2015-2020,2010-2022,2010-2022,0-24,2010-2022
Brunei,2015-2022,-,2010-2022,2010-2022,0-24,2010-2022
Bulgaria,2010-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
Burkina Faso,2015-2021,2015-2021,2015-2021,-,0-4,2015-2021
Burundi,2018-2021,2018-2021,2018-2021,-,-,-
Canada,2010-2021,2015-2020,2010-2021,2010-2022,0-24,2010-2022
Cape Verde,2010-2022,-,2011-2022,2010-2022,0-24,2010-2022
Chile,2010-2021,-,2010-2021,2015-2021,0-24,2015-2021
China,-,-,2015-2022,2010-2022,0-4,2010-2022
Colombia,2015-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
Costa Rica,2015-2022,-,2010-2022,2010-2022,0-24,2010-2022
Croatia,2010-2021,2010-2021,2010-2021,2010-2021,0-24,2010-2022
Cuba,2010-2022,-,2010-2022,2010-2022,0-24,2010-2022
Cyprus,2015-2021,2011-2021,2010-2021,2010-2021,0-24,2014-2022
Czechia,2010-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
Denmark,2010-2022,2011-2021,2011-2021,2010-2022,0-24,2010-2022
Dominica,2015-2020,-,2010-2020,2010-2020,0-24,2010-2020
Dominican Republic,2015-2022,-,2010-2022,2010-2022,0-24,2010-2022
Ecuador,2010-2022,2015-2021,2010-2022,2010-2022,0-24,2010-2022
Egypt,2015-2021,-,2010-2021,2010-2021,0-24,2010-2021
Estonia,2015-2021,2011-2021,2010-2021,2010-2022,0-24,2010-2022
Eswatini,2018-2021,2018-2021,2018-2021,-,-,-
Ethiopia,2018-2021,2018-2021,2018-2021,-,0-4,2018-2021
Faroe Islands,2010-2021,-,-,2012-2021,0-24,2012-2021
Finland,2010-2022,2010-2021,2011-2021,2010-2022,0-24,2010-2022
France,2010-2022,2013-2021,2011-2021,2010-2022,0-24,2012-2022
French Guiana,2010-2021,-,-,2013-2021,0-24,2013-2021
French Polynesia,2010-2021,-,-,2017-2021,0-24,2017-2021
Georgia,2010-2022,2015-2021,2015-2021,2010-2022,0-24,2010-2022
