Country,Code,Deaths,Births,Population,Stillbirths,Neonatal,Infant
Afghanistan,AFG,hmis,hmis,NA,hmis,-,-
Albania,ALB,unicef_ccs,eurostat,wpp,eurs,unpd_eur,eurs_x1
Algeria,DZA,unicef_ccs,wpp,wpp,-,-,unicef_ccs
Algeria,DZA,unicef_ccs,unicef_ann,wpp,-,-,unicef_ccs
American Samoa,ASM,unpd_dy,unpd_dy,wpp,-,-,unpd_dy
Andorra,AND,unicef_ccs,unpd_dy,wpp,unicef_ann,unicef_ann,unicef_ccs
Antigua & Barbuda,ATG,unicef_ccs,unicef_ann,wpp,-,unicef_ann,unicef_ccs
Argentina,ARG,unicef_ccs,unicef_ann,wpp,unicef_ccd,unicef_ann,unicef_ccs
Aruba,ABW,unpd_dy,unpd_dy,wpp,-,unicef_ann,unpd_dy
Australia,AUS,unicef_ccs,unicef_ann,wpp,unicef_ccd,unicef_ccd,unicef_ccs
Austria,AUT,unicef_ccs,unicef_ann,wpp,eurs,eurs,unicef_ccs
Bahamas,BHS,unicef_ccs,unicef_ann,wpp,-,unicef_ann,unicef_ccs
Bangladesh,BGD,-,wpp,wpp,hmis,svr,-
Bangladesh,BGD,-,wpp,wpp,hmis,hmis,-
Bangladesh,BGD,-,hmis,NA,hmis,svr,-
Bangladesh,BGD,-,hmis,NA,hmis,hmis,-
Belgium,BEL,hmd,hmd,wpp,eurs,eurs,hmd
Belize,BLZ,unicef_ccs,unicef_ann,wpp,-,unicef_ann,unicef_ccs
Bermuda,BMU,unpd_dy,unpd_dy,wpp,-,-,unpd_dy
Bosnia & Herzegovina,BIH,unicef_ccs,unicef_ann,wpp,unicef_ccd,unicef_ann,unicef_ccs
Brazil,BRA,unicef_ccs,unicef_ann,wpp,unicef_ann,unicef_ann,unicef_ccs
Brunei,BRN,unicef_ccs,unicef_ann,wpp,-,unicef_ann,unicef_ccs
Bulgaria,BGR,unicef_ccs,unicef_ann,wpp,unicef_ccd,unicef_ccd,unicef_ccs
Burkina Faso,BFA,hmis,hmis,NA,hmis,hmis,-
Burundi,BDI,-,hmis,NA,hmis,hmis,-
Canada,CAN,who_mort_db,stff,wpp,unicef_ccd,unicef_ann,who_mort_db
